company,country,city,category,bematrix_partner,website,linkedin,decision_maker,role,email,phone,segment,priority,estimated_value,service_pitch,source,status,last_contact,next_follow_up,notes
Symbiosis,UK,London,Stand builder,YES - beMaster Plus,symbiosis.co.uk,,,,hello@symbiosis.co.uk,+44 207 039 0101,exhibition-uk,A,2400,A2 beMatrix design + A3 white-label,beMatrix beMaster network,new_lead,,,"One of only five beMaster Plus companies in Europe. Highest-value target on this list: they work exclusively in the system you specialise in. Lead with beMatrix, not with generic 3D."
Taylex Group,UK,,Stand builder,YES - bePartner,taylexgroup.com,,,,,,exhibition-uk,A,2000,A2 beMatrix design,beMatrix bePartner,new_lead,,,"Official bePartner. Delivers beMatrix builds across UK, Europe and Middle East — so also a route into Gulf work."
Expo Supplies,UK,Birmingham,Stand builder / rental,YES - beMatrix,exposupplies.co.uk,,,,,,exhibition-uk,A,1800,A2 beMatrix design + B4 drawings,beMatrix partner listing,new_lead,,,"Large beMatrix frame rental stock on-site at the NEC. Turnkey modular. Rental stock means constant design demand."
Priority Graphics,UK,,Print / graphics,YES - bePartner Print,priority-graphics.co.uk,,,,,,exhibition-uk,A,900,B6 large format artwork + A2,beMatrix bePartner Print network,new_lead,,,"Part of the global bePartner Print network, specialises in beMatrix double-deck prints. Your prepress experience is the exact match here."
expospaces,EU,,Stand builder,YES - bePartner,expospaces.com,,,,,,exhibition-eu,A,2000,A2 beMatrix design,beMatrix bePartner,new_lead,,,"EU bePartner. Check which country before pitching so the language and show references are right."
GES,UK,,Stand builder - large,VERIFY,,,,,,,exhibition-uk,B,1600,A3 white-label overflow,ESSA members directory,new_lead,,,"Large contractor. Long procurement, but overflow capacity is bought by project managers directly during season."
Access Displays,UK,,Stand builder,VERIFY,,,,,,,exhibition-uk,B,1400,A1 stand design,ESSA members directory,new_lead,,,
Alice Expo,UK,,Stand builder,VERIFY,,,,,,,exhibition-uk,B,1400,A1 stand design,ESSA members directory,new_lead,,,
Standbuilder.co.uk Ltd,UK,,Stand builder,VERIFY,standbuilder.co.uk,,,,,,exhibition-uk,B,1400,A1 stand design,ESSA members directory,new_lead,,,
Clip UK,UK,,Stand builder,VERIFY,clipuk.com,,,,,,exhibition-uk,B,1400,A1 stand design + B4,ESSA members directory,new_lead,,,"ESSA member. Modular systems — check which system they run before pitching beMatrix."
